,etablissement,filiere_agregee,zone,statut_simplifie,region
7962,"Centre de Ressources, d-Expertise et de Performance Sportive d-Auvergne Rhône-Alpes Vallon-Pont-d'Arc (CREPS)",Autre formation,Province,Public,Auvergne-Rhône-Alpes
7963,Lycée Jean-Pierre Vernant,Autre formation,Ile-de-France,Public,Ile-de-France
7964,Lycée Paul Eluard,BTS,Ile-de-France,Public,Ile-de-France
7965,Lycée professionnel Louis Darmante,Autre formation,Province,Public,Nouvelle-Aquitaine
7966,Lycée Stella,Autre formation,Outre-mer / Etranger,Public,La Réunion
7967,Lycée de Raoul Georges NICOLO,Autre formation,Outre-mer / Etranger,Public,Guadeloupe
7972,Université de Poitiers,Licence,Province,Public,Nouvelle-Aquitaine
7973,Université de Poitiers,Licence,Province,Public,Nouvelle-Aquitaine
7974,ISEN Lille,Ecole d'Ingénieur,Province,Privé,Hauts-de-France
7975,IFSI Capelette,IFSI,Province,Public,Provence Alpes Côte d'Azur
7976,IFSI CH DE CHOLET,IFSI,Province,Public,Pays de la Loire
7977,IFSI Diaconesses Reuilly,IFSI,Ile-de-France,Privé,Ile-de-France
7978,Institut de Formation en Soins Infirmiers - SAINT-QUENTIN,IFSI,Province,Public,Hauts-de-France
7980,IFSI Croix Rouge Française Bethune,IFSI,Province,Privé,Hauts-de-France
7981,Lycée Eugene Freyssinet,BTS,Province,Public,Bretagne
7982,IFSI Saint Louis (AP-HP),IFSI,Ile-de-France,Public,Ile-de-France
7983,Ecole assistants de service social,EFTS,Province,Privé,Occitanie
7984,Sciences Po Lille - Institut d'études politiques,Autre formation,Province,Public,Hauts-de-France
7985,EFOM- Boris DOLTO,Autre formation,Ile-de-France,Privé,Ile-de-France
7986,Institut Régional de Formation aux Métiers de Rééducation et de Réadaptation des Pays de Loire,Autre formation,Province,Privé,Pays de la Loire
7987,ESSCA School of Management - Aix-Marseille,Ecole de Commerce,Province,Privé,Provence Alpes Côte d'Azur
7988,ESCE,Ecole de Commerce,Ile-de-France,Privé,Ile-de-France
7989,ESSEC Business School,Ecole de Commerce,Ile-de-France,Privé,Ile-de-France
7990,ESSEC Business School,Ecole de Commerce,Ile-de-France,Privé,Ile-de-France
7991,FERRANDI Bordeaux - Ecole Supérieure de la Table,Autre formation,Province,Privé,Nouvelle-Aquitaine
7992,ECOLE DU LOUVRE,Autre formation,Ile-de-France,Public,Ile-de-France
7993,INSEEC Bordeaux,Ecole de Commerce,Province,Privé,Nouvelle-Aquitaine
7994,Institut de formation en Psychomotricité du Centre Hospitalier Intercommunal de Meulan-Les Mureaux,Autre formation,Ile-de-France,Public,Ile-de-France
