,statut_etab,etablissement,region,selectivite,filiere_agregee,capacite,ran_grp1,acc_tot,pct_bours,pct_f,pct_brs,pct_ab,pct_b,pct_tb,selectivite_bin,statut_simplifie,zone,capacite_log,ran_grp1_log,taux_remplissage,taux_remplissage_clipped
1394,Public,Lycée Polyvalent Pierre-Joël Bonté,Auvergne-Rhône-Alpes,formation selective,BTS,15.0,11.0,14,28.57,14.29,28.571428571428573,14.285714285714286,50.0,14.285714285714286,1,Public,Province,2.772588722239781,2.4849066497880004,0.9333333333333333,0.9333333333333333
1395,Privé sous contrat d'association,Lycée St Dominique,Nouvelle-Aquitaine,formation selective,BTS,24.0,65.0,23,15.38,69.57,8.695652173913043,34.78260869565217,4.3478260869565215,4.3478260869565215,1,Privé,Province,3.2188758248682006,4.189654742026425,0.9583333333333334,0.9583333333333334
1396,Public,Lycée Saint-John Perse,Nouvelle-Aquitaine,formation selective,BTS,35.0,116.0,34,37.93,67.65,32.35294117647059,47.05882352941177,11.764705882352942,2.9411764705882355,1,Public,Province,3.58351893845611,4.762173934797756,0.9714285714285714,0.9714285714285714
1397,Public,I.U.T des Pays de l'Adour,Nouvelle-Aquitaine,formation selective,DUT,54.0,24.0,49,18.75,20.41,12.244897959183673,32.6530612244898,12.244897959183673,0.0,1,Public,Province,4.007333185232471,3.2188758248682006,0.9074074074074074,0.9074074074074074
1398,Public,I.U.T de Tarbes,Occitanie,formation selective,DUT,56.0,112.0,56,20.45,32.14,16.071428571428573,44.642857142857146,28.571428571428573,1.7857142857142858,1,Public,Province,4.04305126783455,4.727387818712341,1.0,1.0
1399,Public,I.U.T de Perpignan,Occitanie,formation selective,DUT,39.0,96.0,32,16.13,71.88,15.625,34.375,37.5,15.625,1,Public,Province,3.6888794541139363,4.574710978503383,0.8205128205128205,0.8205128205128205
1400,Public,Lycée professionnel agricole,Grand Est,formation selective,BTS,26.0,48.0,24,47.37,58.33,37.5,20.833333333333332,12.5,4.166666666666667,1,Public,Province,3.295836866004329,3.8918202981106265,0.9230769230769231,0.9230769230769231
1401,Public,Université de Strasbourg,Grand Est,formation non selec,Licence,30.0,67.0,24,80.0,62.5,16.666666666666668,0.0,0.0,0.0,0,Public,Province,3.4339872044851463,4.219507705176107,0.8,0.8
1402,Public,Université de Strasbourg,Grand Est,formation non selec,Licence,20.0,50.0,14,33.33,50.0,7.142857142857143,7.142857142857143,0.0,0.0,0,Public,Province,3.044522437723423,3.9318256327243257,0.7,0.7
1403,Public,Lycée Juliette Récamier,Auvergne-Rhône-Alpes,formation selective,BTS,35.0,103.0,33,62.5,96.97,45.45454545454545,33.333333333333336,21.21212121212121,0.0,1,Public,Province,3.58351893845611,4.6443908991413725,0.9428571428571428,0.9428571428571428
1404,Public,Lycée La Martinière Duchère,Auvergne-Rhône-Alpes,formation selective,CPGE,40.0,290.0,40,27.5,62.5,27.5,12.5,52.5,35.0,1,Public,Province,3.713572066704308,5.673323267171493,1.0,1.0
1405,Public,Lycée Parc Chabrieres,Auvergne-Rhône-Alpes,formation selective,BTS,15.0,85.0,14,16.67,0.0,14.285714285714286,35.714285714285715,28.571428571428573,0.0,1,Public,Province,2.772588722239781,4.454347296253507,0.9333333333333333,0.9333333333333333
